id;nombre;descripcion;activa
1;gee;../fake-data/blob/hipster.txt;true
2;in fort;../fake-data/blob/hipster.txt;true
3;soon;../fake-data/blob/hipster.txt;true
4;revitalise;../fake-data/blob/hipster.txt;false
5;where ultimately across;../fake-data/blob/hipster.txt;false
6;institutionalize shrilly yuck;../fake-data/blob/hipster.txt;true
7;crossly satirise too;../fake-data/blob/hipster.txt;true
8;nor availability if;../fake-data/blob/hipster.txt;true
9;internalize;../fake-data/blob/hipster.txt;false
10;minister bump;../fake-data/blob/hipster.txt;false
