id;nombre;descripcion;precio_base;personalizable;plazo_estimado_dias;imagen_url;activo
1;beside another;../fake-data/blob/hipster.txt;9077.82;true;9676;christen scared sticky;true
2;monthly;../fake-data/blob/hipster.txt;30036.16;false;6464;trustworthy;true
3;woot;../fake-data/blob/hipster.txt;19080.4;false;8827;which;false
4;instance including expense;../fake-data/blob/hipster.txt;6421.6;true;4492;uncover;true
5;gosh embossing capsize;../fake-data/blob/hipster.txt;3711.2;false;24225;merrily analogy;false
6;off only deploy;../fake-data/blob/hipster.txt;10224.13;false;16730;curl slowly;false
7;gee yearly yesterday;../fake-data/blob/hipster.txt;32698.23;true;12405;cleaner;false
8;ha;../fake-data/blob/hipster.txt;9099.74;true;29396;gosh culture;false
9;investigate freezing;../fake-data/blob/hipster.txt;11077.61;false;23460;present;true
10;before weatherize;../fake-data/blob/hipster.txt;9646.6;true;30460;gosh across;false
